# X Y dY
-1.43153900e+00  1.77662100e+01  4.56433714e+00
-1.35812700e+00  2.92115100e+01  5.73700698e+00
-1.28471400e+00  2.23502200e+01  5.11925009e+00
-1.21130200e+00  1.88897300e+01  5.02788563e+00
-1.13789000e+00  2.58703200e+01  5.81860462e+00
-1.06447800e+00  1.17089300e+01  4.59352776e+00
-9.91065500e-01  2.64823500e+01  5.68567300e+00
-9.17653200e-01  3.02303500e+01  5.62238578e+00
-8.44240900e-01  3.35251100e+01  5.73698703e+00
-7.70828700e-01  4.09871200e+01  6.34460559e+00
-6.97416400e-01  3.98468400e+01  6.36635979e+00
-6.24004200e-01  3.99989800e+01  6.78219370e+00
-5.50591900e-01  7.22799700e+01  7.99458191e+00
-4.77179700e-01  9.39128300e+01  6.74840678e+00
-4.03767400e-01  7.39950200e+01  7.02888555e+00
-3.30355200e-01  1.19408400e+02  7.68241074e+00
-2.56942900e-01  1.47963000e+02  8.39971099e+00
-1.83530600e-01  1.84308500e+02  7.90963543e+00
-1.10118400e-01  2.14293500e+02  8.69648711e+00
-3.67061300e-02  2.65010100e+02  8.25800987e+00
 3.67061300e-02  2.59477700e+02  9.47725588e+00
 1.10118400e-01  2.38049200e+02  9.41080030e+00
 1.83530600e-01  2.00632400e+02  7.50014519e+00
 2.56942900e-01  1.56654100e+02  8.31014691e+00
 3.30355200e-01  1.21305400e+02  7.82139453e+00
 4.03767400e-01  1.06438200e+02  7.80897803e+00
 4.77179700e-01  8.63050600e+01  6.85988269e+00
 5.50591900e-01  5.11160500e+01  6.23312389e+00
 6.24004200e-01  5.42661000e+01  6.43776228e+00
 6.97416400e-01  4.19592500e+01  6.40128004e+00
 7.70828700e-01  3.13319800e+01  5.72706197e+00
 8.44240900e-01  2.55978700e+01  5.73908553e+00
 9.17653200e-01  3.36030300e+01  5.75583157e+00
 9.91065500e-01  3.28363000e+01  5.65325191e+00
 1.06447800e+00  2.88141400e+01  5.69601246e+00
 1.13789000e+00  2.94754100e+01  5.99776645e+00
 1.21130200e+00  1.88134400e+01  5.14080502e+00
 1.28471400e+00  2.14758400e+01  5.38858133e+00
 1.35812700e+00  1.49183500e+01  5.26829419e+00
 1.43153900e+00  1.47147500e+01  4.92942612e+00
